symbol,position
AAPL,280
ABT,460
ADBE,92
ADP,163
AMZN,13
AVGO,74
CRM,150
CSX,1041
EW,377
EXR,400
META,138
GOOGL,18
HD,101
IDXX,64
JNPR,1041
JPM,248
KO,1392
MS,458
MSCI,70
MSFT,175
NEE,371
ROP,75
SHW,300
TMO,61
UNH,83
